Solar Sandy,188, $0.04 ,04-01-2023,,
Solar Sesame,188, $0.04 ,04-01-2023,,
SolarEx,188, $0.04 ,04-01-2023,,
SolarSunQuest,188, $0.04 ,04-01-2023,,
Solfiniity Power,188, $0.04 ,04-01-2023,,
Solis Energy,188, $0.04 ,04-01-2023,,
Solito,188, $0.04 ,04-01-2023,,
Solterian,188, $0.04 ,04-01-2023,,
Sommer Consulting,188, $0.04 ,04-01-2023,,
Sonoran Solar Consulting,188, $0.04 ,04-01-2023,,
South Desert,188, $0.04 ,04-01-2023,,
Southwest Electric,188, $0.04 ,04-01-2023,,
Spartan,188, $0.04 ,04-01-2023,,
Spartan Solar,188, $0.04 ,04-01-2023,,
SS of AZ,188, $0.04 ,04-01-2023,,
Stellar Power,188, $0.04 ,04-01-2023,,
STIA,188, $0.04 ,04-01-2023,,
Sun Source,188, $0.04 ,04-01-2023,,
Suncovia,188, $0.04 ,04-01-2023,,
Sunder Energy,188, $0.04 ,04-01-2023,,
Sunforce Solar,188, $0.04 ,04-01-2023,,
SunPad Solar,188, $0.04 ,04-01-2023,,
Sunstreet Builders,188, $0.04 ,04-01-2023,,
SunTech Smart Home,188, $0.04 ,04-01-2023,,
Suntown,188, $0.04 ,04-01-2023,,
Sunvision,188, $0.04 ,04-01-2023,,
Surge,188, $0.04 ,04-01-2023,,
Swift Solar,188, $0.04 ,04-01-2023,,
Switch Solar,188, $0.04 ,04-01-2023,,
Switch up Solar,188, $0.04 ,04-01-2023,,
TGTR LLC,188, $0.04 ,04-01-2023,,
Torres Family,188, $0.04 ,04-01-2023,,
Total Solar Solutions,188, $0.04 ,04-01-2023,,
TRC Energy,188, $0.04 ,04-01-2023,,
Tucson's Solar Advisor,188, $0.04 ,04-01-2023,,
Tycho Energy,188, $0.04 ,04-01-2023,,
United Energy,188, $0.04 ,04-01-2023,,
United Wholesale,188, $0.04 ,04-01-2023,,
Unity Power,188, $0.04 ,04-01-2023,,
Uprisun,188, $0.04 ,04-01-2023,,
Valley Energy,188, $0.04 ,04-01-2023,,
Valley Voltage,188, $0.04 ,04-01-2023,,
Vantage Solar,188, $0.04 ,04-01-2023,,
Victory Solar,188, $0.04 ,04-01-2023,,
WhyGen,188, $0.04 ,04-01-2023,,
World Energy Direct,188, $0.04 ,04-01-2023,,
Zach McCleskey,188, $0.04 ,04-01-2023,,
Zealous Energy,188, $0.04 ,04-01-2023,,
Zona Power,188, $0.04 ,04-01-2023,,
Smile Solar,8, $0.10 ,05-01-2024,,3
Smile Solar,8, $0.11 ,05-01-2024,,6
Smile Solar,8, $0.11 ,05-01-2024,,44
Smile Solar,8, $0.10 ,05-01-2024,,32
